svc,cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
A,2010,2,X,E1-E9,38920,64160,67190,79970,54710,51670,24400,29830,37910,37040,44240,55930,61100,64140,80850,1,1,1,1,1,1,1,1,1
A,2012,2,X,E1-E9,56320,84820,,92790,64260,,23170,30790,,33300,45010,,49440,63750,,1,1,-1,1,1,-1,1,1,-1
A,2014,2,X,E1-E9,59520,79900,,76460,56170,,23910,32890,,34670,48160,,49960,68310,,1,1,-1,1,1,-1,1,1,-1
A,2016,2,X,E1-E9,59070,74060,,62410,47430,,24490,33520,,36240,49200,,53280,70240,,1,1,-1,1,1,-1,1,1,-1
A,2018,2,X,E1-E9,55560,,,55750,,,24630,,,37010,,,55590,,,1,-1,-1,1,-1,-1,1,-1,-1
A,2020,2,X,E1-E9,51990,,,47670,,,24530,,,36500,,,53680,,,1,-1,-1,1,-1,-1,1,-1,-1
C,0,20,X,E1-E9,21060,20310,14440,19390,11630,7008,29040,38660,45430,44110,56990,66500,63160,79710,94010,1,1,1,1,1,1,1,1,1
C,0,20,E,E1,55,,,,,,28170,,,36500,,,57050,,,1,5,5,5,5,5,1,5,5
C,0,20,E,E2,336,419,328,363,232,182,20120,26470,32590,26300,38820,44460,42140,58120,68650,1,1,1,1,1,1,1,1,1
C,0,20,E,E3,1457,1339,1100,1389,887,555,21450,30840,36830,30010,42410,53220,41070,58530,77760,1,1,1,1,1,1,1,1,1
C,0,20,E,E4,6437,6702,5124,6717,3855,2164,25600,35250,42450,37330,51720,61900,52750,72880,87710,1,1,1,1,1,1,1,1,1
C,0,20,E,E5,4953,4948,3651,5021,2731,1599,30440,42110,52450,45930,61730,74380,63400,84340,103300,1,1,1,1,1,1,1,1,1
C,0,20,E,E6,3154,2848,1850,2507,1619,1042,35040,42960,48750,52100,62160,70720,71370,85060,99090,1,1,1,1,1,1,1,1,1
C,0,20,E,E7-E9,4669,4050,2397,3395,2311,1467,39240,45940,48930,56170,64760,71580,76260,88000,95230,1,1,1,1,1,1,1,1,1
C,2002,2,X,E1-E9,2454,2853,2918,1748,1384,1333,26510,37730,45070,40040,54390,64910,56170,75620,92170,1,1,1,1,1,1,1,1,1
C,2004,2,X,E1-E9,2629,2736,3030,1773,1661,1446,26370,38540,43620,39520,56050,63650,57330,77570,90280,1,1,1,1,1,1,1,1,1
C,2006,2,X,E1-E9,2792,2888,3145,1849,1769,1478,28710,37790,46350,42390,56590,67650,60680,81510,94440,1,1,1,1,1,1,1,1,1
C,2008,2,X,E1-E9,1782,2406,2607,2072,1434,1245,29930,37810,46270,47190,55950,69350,68020,80570,98140,1,1,1,1,1,1,1,1,1
C,2010,2,X,E1-E9,1698,2751,2740,2577,1516,1506,27130,36460,46100,42400,53040,67530,62770,75240,95260,1,1,1,1,1,1,1,1,1
C,2012,2,X,E1-E9,1781,2439,,2074,1399,,29270,39860,,42980,58730,,61180,81170,,1,1,-1,1,1,-1,1,1,-1
C,2014,2,X,E1-E9,1660,2053,,1641,1220,,32750,42680,,48110,62290,,67080,83880,,1,1,-1,1,1,-1,1,1,-1
C,2016,2,X,E1-E9,1794,2179,,1633,1245,,31240,41180,,47060,61280,,65350,85430,,1,1,-1,1,1,-1,1,1,-1
C,2018,2,X,E1-E9,2083,,,1878,,,33310,,,49400,,,70500,,,1,-1,-1,1,-1,-1,1,-1,-1
C,2020,2,X,E1-E9,2388,,,2145,,,30480,,,47570,,,66330,,,1,-1,-1,1,-1,-1,1,-1,-1
F,0,20,X,E1-E9,268300,267400,180400,232700,141900,81310,31090,41030,48240,49420,61160,70880,74420,86330,98170,1,1,1,1,1,1,1,1,1
F,0,20,E,E1,6078,6265,4745,5873,4278,2944,19940,25280,30410,26560,35770,44720,36010,50760,63320,1,1,1,1,1,1,1,1,1
F,0,20,E,E2,7842,8042,5648,8104,5365,3359,20060,25700,30440,26870,36630,44510,37050,51170,62840,1,1,1,1,1,1,1,1,1
F,0,20,E,E3,19530,20970,15410,23850,15550,9495,20800,27530,33630,28940,39790,49220,41060,56900,70930,1,1,1,1,1,1,1,1,1
F,0,20,E,E4,66870,72910,50470,77380,43240,22130,25740,36210,44920,38800,52800,64560,57390,74290,90980,1,1,1,1,1,1,1,1,1
F,0,20,E,E5,60070,59530,36940,56960,33460,16950,34690,45210,53960,52270,64310,76320,74770,88890,105500,1,1,1,1,1,1,1,1,1
F,0,20,E,E6,31050,28230,18300,21970,14440,8691,38810,47130,50710,56750,65570,71550,79130,89360,96890,1,1,1,1,1,1,1,1,1
F,0,20,E,E7-E9,76880,71480,48910,38580,25580,17740,47710,57640,63490,68640,78230,85910,92130,101900,110100,1,1,1,1,1,1,1,1,1
F,2002,2,X,E1-E9,25790,31360,30560,18750,13200,14050,29200,39820,47020,45690,59410,69540,69720,84830,97330,1,1,1,1,1,1,1,1,1
F,2004,2,X,E1-E9,38990,40590,43280,23170,21600,18940,28540,42720,47390,45750,63670,70040,69280,89310,97330,1,1,1,1,1,1,1,1,1
F,2006,2,X,E1-E9,38520,39650,42500,21800,20560,17790,31320,42850,48830,48430,63560,71180,71070,88760,98130,1,1,1,1,1,1,1,1,1
F,2008,2,X,E1-E9,23190,30000,31900,22850,16110,14200,35580,40530,49680,56940,61250,72540,82330,87200,100000,1,1,1,1,1,1,1,1,1
F,2010,2,X,E1-E9,22410,31470,32200,26160,17110,16320,32100,38670,48540,53260,58250,71270,79870,83350,98620,1,1,1,1,1,1,1,1,1
F,2012,2,X,E1-E9,21810,30660,,26780,17980,,28290,37630,,43890,56100,,67760,79760,,1,1,-1,1,1,-1,1,1,-1
F,2014,2,X,E1-E9,27710,35320,,27190,19620,,30700,42390,,47140,61960,,68890,86270,,1,1,-1,1,1,-1,1,1,-1
F,2016,2,X,E1-E9,22790,28380,,21330,15740,,32460,43390,,52420,63910,,77170,89450,,1,1,-1,1,1,-1,1,1,-1
F,2018,2,X,E1-E9,24120,,,21710,,,34890,,,56550,,,83750,,,1,-1,-1,1,-1,-1,1,-1,-1
F,2020,2,X,E1-E9,23000,,,22960,,,32090,,,51620,,,78340,,,1,-1,-1,1,-1,-1,1,-1,-1
M,0,20,X,E1-E9,243100,243400,145000,229300,126800,61910,25930,36230,45280,38460,52720,65010,56510,74670,92120,1,1,1,1,1,1,1,1,1
M,0,20,E,E1,1768,1795,1346,2090,1526,1089,20510,25310,30890,27810,36760,45680,38780,52680,66830,1,1,1,1,1,1,1,1,1
M,0,20,E,E2,5406,5315,3498,6101,4077,2423,20600,26650,32070,28060,38060,46890,38220,52900,67150,1,1,1,1,1,1,1,1,1
M,0,20,E,E3,31860,33040,21560,37670,22790,12280,21940,28990,36380,30570,41820,52120,42060,58430,73570,1,1,1,1,1,1,1,1,1
M,0,20,E,E4,105400,110400,65180,107400,56520,26020,24300,34490,44170,34890,49250,62190,48700,68020,86390,1,1,1,1,1,1,1,1,1
M,0,20,E,E5,65140,62930,36710,55160,28360,12950,29220,42300,53600,43610,60160,75450,62860,82550,103200,1,1,1,1,1,1,1,1,1
M,0,20,E,E6,14090,12980,6551,10080,6211,2769,38230,49080,55370,56180,69060,79440,80250,95580,109300,1,1,1,1,1,1,1,1,1
M,0,20,E,E7-E9,19410,16960,10180,10880,7358,4376,45460,54890,59420,67030,77170,83890,92160,103900,111200,1,1,1,1,1,1,1,1,1
M,2002,2,X,E1-E9,21980,26950,26610,15590,10610,10990,25090,36700,44430,36260,52520,63780,51650,73330,91360,1,1,1,1,1,1,1,1,1
M,2004,2,X,E1-E9,26000,26400,29310,15550,15150,12220,25300,37870,44560,37220,54540,64380,53850,77270,91650,1,1,1,1,1,1,1,1,1
M,2006,2,X,E1-E9,26240,26500,30230,16770,16530,12730,25850,36570,46330,38620,53690,66390,56970,77780,93590,1,1,1,1,1,1,1,1,1
M,2008,2,X,E1-E9,14680,23480,26370,22550,13630,10870,26790,33560,45910,40440,49900,66230,62280,72590,93340,1,1,1,1,1,1,1,1,1
M,2010,2,X,E1-E9,17020,30730,32490,30510,16850,15110,25530,33600,45050,37890,48800,64480,59890,69380,90530,1,1,1,1,1,1,1,1,1
M,2012,2,X,E1-E9,23920,36900,,32090,19170,,24910,35590,,36570,51740,,54520,72230,,1,1,-1,1,1,-1,1,1,-1
M,2014,2,X,E1-E9,27650,37680,,28260,18280,,25790,38250,,37850,55330,,55140,77480,,1,1,-1,1,1,-1,1,1,-1
M,2016,2,X,E1-E9,27200,34770,,24150,16610,,25950,37590,,38780,54430,,56470,76100,,1,1,-1,1,1,-1,1,1,-1
M,2018,2,X,E1-E9,27370,,,22060,,,27500,,,41260,,,60730,,,1,-1,-1,1,-1,-1,1,-1,-1
M,2020,2,X,E1-E9,31020,,,21800,,,26930,,,39760,,,57070,,,1,-1,-1,1,-1,-1,1,-1,-1
N,0,20,X,E1-E9,307000,320800,220200,296300,180200,104700,27600,36210,43160,43530,54380,63940,68190,79690,92790,1,1,1,1,1,1,1,1,1
N,0,20,E,E1,3422,3439,2632,4568,3065,1949,18760,23150,27830,24400,32410,40330,33090,45170,57580,1,1,1,1,1,1,1,1,1
N,0,20,E,E2,7203,7147,4966,8851,6077,3796,19600,24220,28920,26060,34470,42730,35700,48730,61220,1,1,1,1,1,1,1,1,1
